Br;Btheta;Blambda;r
-45326.7062;-3854.3627;1469.4564;6869.86541
-45795.2972;-2331.2434000000003;1274.2003;6869.71645
-46133.086;-504.9125;1075.8616;6869.63966
-46337.9081;-620.4639000000001;212.3702;6869.6357
-46378.569500000005;-2193.7555;228.8128;6869.70449
-46212.549900000005;-3896.6243000000004;529.363;6869.845310000001
-45806.3053;-5691.602;908.5145;6870.05672
-45154.6135;-7386.6810000000005;1465.4550000000002;6870.3366000000005
-44155.4077;-9338.6268;1715.6302;6870.68219
-42807.4239;-11171.8667;2039.7914;6871.09009
-41122.0601;-12893.212300000001;2344.5548;6871.556280000001
-39139.8381;-14460.024500000001;2613.2512;6872.07629
-36919.586;-15827.5393;2836.9093000000003;6872.64524
-34543.2664;-16979.811700000002;3017.7441000000003;6873.25802
-32089.3214;-17940.0639;3159.6164000000003;6873.90925
-29606.254800000002;-18744.855900000002;3266.5855;6874.59338
-27130.844100000002;-19432.7766;3347.7817;6875.30472
-24678.2984;-20055.1689;3413.3182;6876.037429999999
-22235.951;-20659.2972;3468.7901;6876.78561
-19771.7086;-21277.9964;3521.5579000000002;6877.543310000001
-17243.8001;-21928.3148;3579.4272;6878.304730000001
-14606.762200000001;-22610.8465;3649.7079000000003;6879.06434
-11818.308700000001;-23308.8408;3738.3692;6879.81702
-8846.869200000001;-23987.101300000002;3853.5481;6880.557940000001
-5677.7379;-24603.1467;3995.954;6881.28264
-2313.1338;-25103.4974;4169.1841;6881.98705
1216.1047;-25439.4159;4372.6254;6882.66762
4862.1463;-25575.4314;4605.6038;6883.32128
8569.5355;-25481.1372;4863.5043000000005;6883.94545
12267.9259;-25146.9527;5140.2525000000005;6884.53805
15898.279400000001;-24582.8489;5433.097900000001;6885.0975
19403.2892;-23804.097400000002;5728.321;6885.6227
22737.5079;-22841.492400000003;6024.2159;6886.11297
25872.5031;-21729.838600000003;6315.5058;6886.56807
28794.367700000003;-20501.2317;6600.3687;6886.98817
31503.7844;-19183.2223;6879.2378;6887.37377
34007.1672;-17793.027700000002;7149.568700000001;6887.72571
36314.5037;-16333.4847;7415.0005;6888.0451299999995
38430.6825;-14800.8862;7677.6389;6888.33344
40348.086800000005;-13183.7001;7936.9956;6888.5922199999995
42051.1328;-11467.137;8192.659800000001;6888.82316
43503.4551;-9637.168300000001;8445.1369;6889.028
44657.1854;-7698.9944000000005;8688.915500000001;6889.20845
45459.3441;-5732.151800000001;8882.047400000001;6889.366190000001
45852.898700000005;-3750.0673;9220.399300000001;6889.50284
45847.3671;-1704.8197;9556.856600000001;6889.619900000001
45364.3718;252.0189;9917.2053;6889.718620000001
44443.954900000004;1652.5385;10219.102700000001;6889.79989
43068.923200000005;2119.8356;10907.444300000001;6889.864320000001
41315.1961;-1742.2856000000002;11836.7759;6889.91222
39244.2152;-12693.6795;1699.3249;6889.94363
36948.500400000004;-12858.2793;-4036.387;6889.95838
34524.8525;-12840.101400000001;-5301.6113000000005;6889.95599
32072.9847;-12837.6224;-5813.5247;6889.93571
29687.1515;-12783.911600000001;-5836.028600000001;6889.89644
27439.1353;-12549.5583;-5714.5499;6889.8369
25380.5363;-12159.1985;-5496.9753;6889.755770000001
23565.6016;-11621.1535;-5235.7943000000005;6889.65151
-45038.801400000004;-4051.4770000000003;599.0592;6869.77416
-45643.6796;-2437.3304000000003;854.6584;6869.63979
-46124.4479;-453.6569;1014.0043000000001;6869.57796
-46438.863000000005;-1013.9589000000001;168.6996;6869.58918
-46537.8173;-2704.7684;-80.43560000000001;6869.67324
-46373.8206;-4561.3892000000005;-134.9182;6869.82923
-45908.2701;-6501.6774000000005;-62.4386;6870.055520000001
-45080.8851;-8575.1452;-140.11690000000002;6870.34983
-43875.1394;-10609.0725;-104.8935;6870.70921
-42288.2234;-12559.6085;-44.7173;6871.13013
-40356.211200000005;-14364.6273;44.9518;6871.60857
-38135.8537;-15983.4506;161.4925;6872.14011
-35700.593;-17394.9736;313.4465;6872.71987
-33114.1362;-18596.5691;500.63530000000003;6873.34263
-30448.7979;-19606.515600000002;727.3788000000001;6874.00294
-27751.4638;-20463.927200000002;990.5500000000001;6874.69517
-25045.992400000003;-21210.8704;1288.037;6875.41352
-22337.6434;-21891.831000000002;1613.4483;6876.15209
-19611.4313;-22537.429;1952.5171;6876.90497
-16848.7877;-23171.8656;2296.0354;6877.66637
-14022.6517;-23809.520800000002;2638.3118;6878.43062
-11092.390000000001;-24459.8953;2970.2795;6879.19224
-8014.563;-25109.6738;3285.8264000000004;6879.94607
-4758.2998;-25723.113;3580.8705;6880.6873
-1308.7195000000002;-26256.173600000002;3854.8251;6881.41154
2331.5729;-26657.6031;4109.6861;6882.114860000001
6134.959400000001;-26873.129800000002;4347.5632000000005;6882.79379
10048.626900000001;-26857.406000000003;4571.026800000001;6883.4453300000005
14006.5365;-26580.4355;4784.616300000001;6884.06693
17931.6822;-26032.8692;4992.4942;6884.65642
21754.5766;-25220.2719;5194.8006000000005;6885.2120700000005
25406.974400000003;-24168.136300000002;5389.6618;6885.732730000001
28838.835300000002;-22914.321200000002;5578.0677000000005;6886.217890000001
32025.228000000003;-21497.2984;5761.6615;6886.66751
34950.2511;-19951.109200000003;5936.1205;6887.08189
37610.8071;-18302.6643;6098.944600000001;6887.46171
40004.306000000004;-16572.872;6246.437400000001;6887.80795
42144.0343;-14776.451000000001;6378.1493;6888.12189
44037.957;-12905.178800000002;6489.7398;6888.4050099999995
45666.5674;-10947.6322;6573.7653;6888.65893
47005.551100000004;-8895.5996;6629.5469;6888.885429999999
48025.661400000005;-6757.063300000001;6685.561500000001;6889.08634
48717.5555;-4634.327200000001;6622.8194;6889.26342
48985.0218;-2312.6969;6688.785000000001;6889.41829
48806.540400000005;-19.843700000000002;6702.195500000001;6889.55244
48165.471600000004;2173.3068000000003;6761.157;6889.667240000001
47062.1281;4155.5094;6950.6182;6889.76381
45521.2174;5689.5838;7484.9604;6889.84298
43603.1452;6041.9682;8841.8601;6889.90528
41359.0173;-599.8063000000001;11937.4174;6889.950940000001
38885.772300000004;-12427.349900000001;3701.8158000000003;6889.9799299999995
36281.679000000004;-13644.1402;-18.361900000000002;6889.99199
33618.512500000004;-14030.1841;-1301.4086;6889.9866
30991.9739;-14138.7936;-1832.4775000000002;6889.96293
28481.6264;-13996.7657;-2124.3109;6889.91987
26157.973400000003;-13623.4882;-2309.8782;6889.85613
24086.7573;-13063.7369;-2452.2599;6889.77023
22316.5328;-12376.488500000001;-2573.2037;6889.66049
-45050.6091;-3694.7081000000003;-559.0325;6869.67258
-45642.593;-2342.0364;378.45550000000003;6869.554520000001
-46157.4941;-544.0496;980.6897;6869.50947
-46557.7618;-1164.1736;190.8878;6869.53776
-46784.8655;-2665.5163000000002;-382.11220000000003;6869.63901
-46772.1907;-4364.698600000001;-626.1644;6869.81213
-46479.2505;-6307.9232;-1018.7575;6870.055310000001
-45836.6811;-8360.0064;-1462.3227000000002;6870.3661
-44822.569800000005;-10397.6303;-1779.8633;6870.741390000001
-43434.8743;-12402.7844;-2022.5896;6871.17746
-41698.8461;-14336.745700000001;-2195.3939;6871.67008
-39640.3108;-16159.9199;-2288.8636;6872.21457
-37306.0455;-17851.993300000002;-2296.6752;6872.8059299999995
-34731.596000000005;-19406.8161;-2216.9508;6873.43883
-31953.891300000003;-20820.052;-2053.0269000000003;6874.10775
-29004.1895;-22095.471100000002;-1806.3495;6874.80704
-25911.3675;-23241.349400000003;-1488.0683000000001;6875.5308700000005
-22694.7423;-24270.0413;-1111.1870000000001;6876.27337
-19364.187700000002;-25190.7485;-688.8302;6877.02866
-15928.0017;-26009.1552;-238.4387;6877.79093
-12386.5581;-26729.578800000003;226.1789;6878.55455
-8739.8109;-27352.275100000003;686.8553;6879.31416
-4979.0654;-27869.0374;1130.6570000000002;6880.064770000001
-1108.3285;-28261.4146;1543.4418;6880.80171
2871.4317;-28509.0063;1918.0348000000001;6881.52065
6946.489100000001;-28578.7605;2251.9624;6882.21773
11083.6667;-28436.3925;2542.0786000000003;6882.88951
15235.9596;-28058.9202;2787.3969;6883.532980000001
19348.9657;-27432.514600000002;2994.5846;6884.14578
23368.9864;-26549.4455;3171.2835;6884.72608
27229.6542;-25415.2851;3317.7527;6885.2726
30873.8652;-24054.947;3442.0214;6885.78449
34261.510200000004;-22506.2389;3545.0234;6886.26138
37371.4538;-20800.1685;3627.5741000000003;6886.70334
40185.5183;-18966.168100000003;3688.0600000000004;6887.110850000001
42699.2571;-17030.6009;3722.1321000000003;6887.48467
44910.0206;-15007.0414;3727.0350000000003;6887.825900000001
46811.9366;-12903.566200000001;3699.5835;6888.13586
48391.1125;-10728.294300000001;3635.2984;6888.41604
49624.957200000004;-8497.7196;3510.1647000000003;6888.66796
50517.600000000006;-6287.0837;3279.8237000000004;6888.8932
51046.4679;-4090.7715000000003;2999.1715;6889.09338
51178.9199;-1683.3475;3038.0261;6889.2702
50879.6615;690.2413;2799.4373;6889.42529
50134.5782;2972.4461;2622.096;6889.56019
48997.022600000004;5086.215700000001;2561.7328;6889.67619
47498.0415;6983.0388;2740.1458000000002;6889.77434
45680.958900000005;8492.8838;3531.2672000000002;6889.8553600000005
43602.050800000005;8806.3945;6131.5939;6889.919650000001
41291.454900000004;-1027.0886;11997.2095;6889.967350000001
38776.7888;-11277.6589;6625.4885;6889.998320000001
36232.5918;-13224.839100000001;3946.8056;6890.01224
33649.4056;-14037.771200000001;2794.0697;6890.00849
31070.6823;-14447.103700000001;2065.5877;6889.986150000001
28554.968;-14580.834;1447.0458;6889.94396
26171.819600000003;-14475.423900000002;869.2032;6889.880480000001
23981.3269;-14185.1965;302.4375;6889.7940499999995
22028.3096;-13771.7211;-262.3711;6889.68285
-44807.0026;-3672.3205000000003;-1795.2614;6869.9083200000005
-45229.112100000006;-2810.7502;-1182.1843000000001;6869.73292
-45682.3568;-2113.0445;60.3352;6869.6295
-46165.396100000005;-884.5076;1035.6528;6869.59887
-46630.681800000006;-1382.2178000000001;460.06820000000005;6869.6412
-47014.8451;-2523.3645;-121.8516;6869.75594
-47237.375100000005;-3958.9118000000003;-677.9142;6869.94185
-47282.7252;-5566.3027;-726.4751;6870.1970200000005
-47073.261900000005;-7340.161700000001;-1485.3843000000002;6870.51889
-46532.9603;-9249.8186;-1928.3417000000002;6870.9043
-45644.313;-11241.1037;-2275.1462;6871.349520000001
-44390.3105;-13272.868400000001;-2552.4968000000003;6871.85021
-42769.744600000005;-15302.884100000001;-2753.1052;6872.40154
-40796.896400000005;-17308.9011;-2873.9592000000002;6872.998350000001
-38466.856700000004;-19266.7367;-2910.913;6873.63519
-35791.162000000004;-21143.885700000003;-2868.3183000000004;6874.306390000001
-32784.9972;-22916.8669;-2750.1669;6875.00615
-29471.9349;-24560.9074;-2564.1237;6875.72859
-25868.146800000002;-26055.7792;-2319.7493;6876.46787
-22006.7462;-27372.043800000003;-2025.4747;6877.21821
-17919.9389;-28491.4872;-1695.1969000000001;6877.974
-13647.665500000001;-29395.176300000003;-1343.0829;6878.729780000001
-9232.9271;-30073.0318;-983.9085;6879.480280000001
-4715.158;-30516.9604;-629.5857;6880.22051
-135.2612;-30722.3725;-293.1001;6880.94578
4471.6111;-30687.3286;15.902000000000001;6881.6519100000005
9067.5571;-30406.278100000003;289.81620000000004;6882.3352700000005
13618.2036;-29879.9082;517.9594000000001;6882.99276
18082.515900000002;-29093.1522;697.224;6883.62178
22403.273800000003;-28054.6711;822.8861;6884.22029
26540.1434;-26773.6336;892.6218;6884.786690000001
30440.595500000003;-25264.3555;905.3761000000001;6885.319850000001
34064.065500000004;-23554.933500000003;859.5118;6885.81917
37369.692500000005;-21674.0186;755.0505;6886.28453
40337.0414;-19665.2465;599.4933;6886.7162
42955.538;-17554.1165;397.5007;6887.1147599999995
45222.4853;-15376.578500000001;144.6528;6887.481110000001
47142.420000000006;-13140.736;-151.818;6887.81631
48703.854900000006;-10856.0048;-486.8007;6888.12153
49893.0029;-8516.7863;-940.1092000000001;6888.39809
50672.3706;-6214.3662;-1356.9716;6888.64747
51121.556300000004;-3998.0378;-1444.2254;6888.87124
51202.226800000004;-1753.3301000000001;-1845.0908000000002;6889.07103
50911.397000000004;383.85540000000003;-2193.5665;6889.24845
50274.4513;2447.5639;-2488.5133;6889.405
49320.046800000004;4404.0653;-2670.8538000000003;6889.54196
48093.6887;6239.557400000001;-2664.6963;6889.66054
46642.993;7969.3707;-2306.8766;6889.7617199999995
45005.3666;9593.670900000001;-1102.8246000000001;6889.84617
43215.5893;10374.7818;3248.1055;6889.9142
41284.868200000004;-1404.6371000000001;11869.607600000001;6889.96588
39176.034100000004;-9055.8073;9273.3524;6890.000980000001
37019.2476;-11491.655;7480.9048;6890.0190600000005
34748.2528;-12810.953500000001;6520.71;6890.01936
32376.9277;-13734.423200000001;5787.4892;6890.0008
29951.9772;-14388.2014;5113.5298;6889.96196
27525.8799;-14820.0501;4464.8427;6889.90126
