Br,Btheta,Blambda
-46884.0887,-2303.1173,-13.4989
-46534.7456,-1075.5286,316.2576
-46203.102100000004,137.58180000000002,250.72660000000002
-45926.3998,-139.42440000000002,-924.7408
-45710.8825,-1127.7089,-1404.5241
-45568.4302,-2046.7324,-1748.7292
-45461.6684,-3009.9527000000003,-2100.1587
-45328.011900000005,-4106.3424,-2398.6604
-45106.201100000006,-5344.1557,-2677.94
-44718.8018,-6719.912,-2938.7823000000003
-44102.8821,-8207.652600000001,-3167.0889
-43220.9895,-9792.183500000001,-3020.1838000000002
-42007.712,-11368.535600000001,-3503.877
-40498.625700000004,-12930.4755,-3700.9523000000004
-38694.2197,-14421.4287,-3855.2760000000003
-36625.073000000004,-15806.134900000001,-3986.1561
-34325.23,-17044.133400000002,-4086.4334000000003
-31835.440400000003,-18119.068900000002,-4165.5258
-29202.521200000003,-19024.8387,-4217.8669
-26466.483900000003,-19760.591800000002,-4245.3455
-23663.2039,-20332.3997,-4246.832600000001
-20819.8578,-20751.648400000002,-4219.1495
-17953.4212,-21024.7174,-4159.0776000000005
-15082.1172,-21155.3682,-4068.2171000000003
-12229.676500000001,-21144.9782,-3942.7284
-9418.0391,-21000.6171,-3779.4162
-6668.6419000000005,-20722.7566,-3576.7192
-4013.3724,-20321.001,-3327.3662
-1481.4747,-19809.959300000002,-3031.3166
897.8546,-19218.6261,-2685.9572000000003
3112.5625,-18580.598,-2294.0660000000003
5159.1072,-17931.5089,-1863.5375000000001
7048.6894,-17303.5478,-1397.2794000000001
8798.8528,-16729.2075,-904.4292
10439.2512,-16233.3084,-393.3623
12006.008300000001,-15840.3058,132.36610000000002
13551.3655,-15557.594700000001,663.4518
15121.0548,-15384.0828,1205.8479
16766.657600000002,-15302.5422,1750.8651
18524.6168,-15281.6011,2296.8286000000003
20418.5397,-15278.8024,2840.1873
22450.6461,-15248.531700000001,3368.7448
24601.685400000002,-15144.745,3874.2903
26828.593,-14932.1497,4340.3585
29071.640000000003,-14595.207900000001,4742.4882
31266.6271,-14148.460000000001,5041.4204
33356.3367,-13635.0062,5139.294400000001
35262.2382,-13266.336000000001,4832.8365
37050.387500000004,-13119.8639,3955.3784
38741.5738,-13126.5862,-416.7814
40256.2079,-3405.5027,-12169.0238
41763.1385,3382.2302,-11421.402600000001
43027.835100000004,4017.7018000000003,-10378.923
44170.3049,3514.8,-9794.9612
45195.619,2585.848,-9328.4416
46060.683000000005,1384.8681000000001,-8893.295900000001
46734.054500000006,3.8475,-8440.6275
47188.5517,-1550.421,-7955.776900000001
-45326.7062,-3854.3627,1469.4564
-45795.2972,-2331.2434000000003,1274.2003
-46133.086,-504.9125,1075.8616
-46337.9081,-620.4639000000001,212.3702
-46378.569500000005,-2193.7555,228.8128
-46212.549900000005,-3896.6243000000004,529.363
-45806.3053,-5691.602,908.5145
-45154.6135,-7386.6810000000005,1465.4550000000002
-44155.4077,-9338.6268,1715.6302
-42807.4239,-11171.8667,2039.7914
-41122.0601,-12893.212300000001,2344.5548
-39139.8381,-14460.024500000001,2613.2512
-36919.586,-15827.5393,2836.9093000000003
-34543.2664,-16979.811700000002,3017.7441000000003
-32089.3214,-17940.0639,3159.6164000000003
-29606.254800000002,-18744.855900000002,3266.5855
-27130.844100000002,-19432.7766,3347.7817
-24678.2984,-20055.1689,3413.3182
-22235.951,-20659.2972,3468.7901
-19771.7086,-21277.9964,3521.5579000000002
-17243.8001,-21928.3148,3579.4272
-14606.762200000001,-22610.8465,3649.7079000000003
-11818.308700000001,-23308.8408,3738.3692
-8846.869200000001,-23987.101300000002,3853.5481
-5677.7379,-24603.1467,3995.954
-2313.1338,-25103.4974,4169.1841
1216.1047,-25439.4159,4372.6254
4862.1463,-25575.4314,4605.6038
8569.5355,-25481.1372,4863.5043000000005
12267.9259,-25146.9527,5140.2525000000005
15898.279400000001,-24582.8489,5433.097900000001
19403.2892,-23804.097400000002,5728.321
22737.5079,-22841.492400000003,6024.2159
25872.5031,-21729.838600000003,6315.5058
28794.367700000003,-20501.2317,6600.3687
31503.7844,-19183.2223,6879.2378
34007.1672,-17793.027700000002,7149.568700000001
36314.5037,-16333.4847,7415.0005
38430.6825,-14800.8862,7677.6389
40348.086800000005,-13183.7001,7936.9956
42051.1328,-11467.137,8192.659800000001
43503.4551,-9637.168300000001,8445.1369
44657.1854,-7698.9944000000005,8688.915500000001
45459.3441,-5732.151800000001,8882.047400000001
45852.898700000005,-3750.0673,9220.399300000001
45847.3671,-1704.8197,9556.856600000001
45364.3718,252.0189,9917.2053
44443.954900000004,1652.5385,10219.102700000001
43068.923200000005,2119.8356,10907.444300000001
41315.1961,-1742.2856000000002,11836.7759
39244.2152,-12693.6795,1699.3249
36948.500400000004,-12858.2793,-4036.387
34524.8525,-12840.101400000001,-5301.6113000000005
32072.9847,-12837.6224,-5813.5247
29687.1515,-12783.911600000001,-5836.028600000001
27439.1353,-12549.5583,-5714.5499
25380.5363,-12159.1985,-5496.9753
23565.6016,-11621.1535,-5235.7943000000005
-45038.801400000004,-4051.4770000000003,599.0592
-45643.6796,-2437.3304000000003,854.6584
-46124.4479,-453.6569,1014.0043000000001
-46438.863000000005,-1013.9589000000001,168.6996
-46537.8173,-2704.7684,-80.43560000000001
-46373.8206,-4561.3892000000005,-134.9182
-45908.2701,-6501.6774000000005,-62.4386
-45080.8851,-8575.1452,-140.11690000000002
-43875.1394,-10609.0725,-104.8935
-42288.2234,-12559.6085,-44.7173
-40356.211200000005,-14364.6273,44.9518
-38135.8537,-15983.4506,161.4925
-35700.593,-17394.9736,313.4465
-33114.1362,-18596.5691,500.63530000000003
-30448.7979,-19606.515600000002,727.3788000000001
-27751.4638,-20463.927200000002,990.5500000000001
-25045.992400000003,-21210.8704,1288.037
-22337.6434,-21891.831000000002,1613.4483
-19611.4313,-22537.429,1952.5171
-16848.7877,-23171.8656,2296.0354
-14022.6517,-23809.520800000002,2638.3118
-11092.390000000001,-24459.8953,2970.2795
-8014.563,-25109.6738,3285.8264000000004
-4758.2998,-25723.113,3580.8705
-1308.7195000000002,-26256.173600000002,3854.8251
2331.5729,-26657.6031,4109.6861
6134.959400000001,-26873.129800000002,4347.5632000000005
