# Expanded and assembled Kp and ap
# created @ 2019-01-15 17:08:01
#   Flags: Definitive, Quicklook
#
#   MJD2000 Kp  ap Flag
  -729.9375  7   3    D
  -729.8125 13   5    D
  -729.6875 27  12    D
  -729.5625  7   3    D
  -729.4375  7   3    D
  -729.3125  7   3    D
  -729.1875  3   2    D
  -729.0625  7   3    D
  -728.9375 10   4    D
  -728.8125 20   7    D
  -728.6875 13   5    D
  -728.5625  7   3    D
  -728.4375 20   7    D
  -728.3125 20   7    D
  -728.1875  3   2    D
  -728.0625 20   7    D
  -727.9375  3   2    D
  -727.8125  3   2    D
  -727.6875 13   5    D
  -727.5625 13   5    D
  -727.4375 13   5    D
  -727.3125  7   3    D
  -727.1875  7   3    D
  -727.0625  3   2    D
  -726.9375  0   0    D
  -726.8125  0   0    D
  -726.6875  0   0    D
  -726.5625  7   3    D
  -726.4375 17   6    D
  -726.3125 10   4    D
  -726.1875 10   4    D
  -726.0625  7   3    D
  -725.9375  3   2    D
  -725.8125  0   0    D
  -725.6875  0   0    D
  -725.5625 10   4    D
  -725.4375 10   4    D
  -725.3125 17   6    D
  -725.1875 13   5    D
  -725.0625  3   2    D
  -724.9375 30  15    D
  -724.8125 40  27    D
  -724.6875 13   5    D
  -724.5625  0   0    D
  -724.4375 30  15    D
  -724.3125 43  32    D
  -724.1875 40  27    D
  -724.0625 37  22    D
  -723.9375 53  56    D
  -723.8125 63  94    D
  -723.6875 40  27    D
  -723.5625 37  22    D
  -723.4375 27  12    D
  -723.3125 17   6    D
  -723.1875  7   3    D
  -723.0625  0   0    D
  -722.9375  0   0    D
  -722.8125  3   2    D
  -722.6875 20   7    D
  -722.5625 27  12    D
  -722.4375 20   7    D
  -722.3125 17   6    D
  -722.1875 27  12    D
  -722.0625 33  18    D
  -721.9375 23   9    D
  -721.8125 10   4    D
  -721.6875 23   9    D
  -721.5625 23   9    D
  -721.4375 33  18    D
  -721.3125 33  18    D
  -721.1875  7   3    D
  -721.0625 10   4    D
  -720.9375 10   4    D
  -720.8125 20   7    D
  -720.6875 10   4    D
  -720.5625 17   6    D
  -720.4375 27  12    D
  -720.3125 27  12    D
  -720.1875 17   6    D
  -720.0625 10   4    D
  -719.9375 17   6    D
  -719.8125 20   7    D
  -719.6875 17   6    D
  -719.5625 13   5    D
  -719.4375 27  12    D
  -719.3125 13   5    D
  -719.1875 10   4    D
  -719.0625  7   3    D
  -718.9375  7   3    D
