r,theta,phi
6869.9364000000005,9.08651540000001,132.3434335
6869.75198,5.477628899999999,142.07680299999998
6869.63975,2.5449861000000027,179.8977108
6869.60046,3.4618837000000013,-103.2358579
6869.634150000001,6.821190000000001,-82.1128233
6869.74024,10.493282000000008,-75.4231392
6869.91751,14.238136800000007,-72.3287098
6870.16402,18.0103606,-70.609871
6870.47728,21.795668399999997,-69.55614899999999
6870.85429,25.5881641,-68.8731485
6871.29146,29.384966000000006,-68.4173879
6871.784640000001,33.184490600000004,-68.11068949999999
6872.3292,36.9857875,-67.9068364
6872.92008,40.7882453,-67.7767436
6873.5518600000005,44.5914464,-67.7011747
6874.218900000001,48.3950911,-67.6668772
6874.915480000001,52.1989542,-67.6644012
6875.63588,56.0028609,-67.686803
6876.37434,59.806671,-67.72884189999999
6877.1251,63.6102684,-67.7864634
6877.88255,67.4135547,-67.8564549
6878.64125,71.2164451,-67.9362098
6879.39592,75.0188652,-68.0235606
6880.14148,78.82074850000001,-68.1166567
6880.87319,82.6220344,-68.2138745
6881.58671,86.4226676,-68.3137455
6882.27825,90.2225967,-68.414898
6882.94449,94.0217747,-68.51600619999999
6883.5826799999995,97.8201583,-68.6157429
6884.1905,101.6177075,-68.7127318
6884.76609,105.4143837,-68.8054971
6885.30808,109.21014890000001,-68.89240389999999
6885.81573,113.0049644,-68.9715854
6886.2888,116.7987909,-69.0408527
6886.72742,120.5915844,-69.0975716
6887.132140000001,124.383294,-69.1384934
6887.5037999999995,128.1738567,-69.159514
6887.84348,131.9631904,-69.1553249
6888.15246,135.7511838,-69.1188863
6888.43219,139.5376794,-69.0406082
6888.6842400000005,143.322448,-68.9070282
6888.91023,147.1051444,-68.6985839
6889.111690000001,150.8852281,-68.3856607
6889.290150000001,154.66181569999998,-67.92112949999999
6889.44703,158.4333775,-67.22511899999999
6889.58367,162.1970527,-66.1506725
6889.70132,165.9468728,-64.3952079
6889.801060000001,169.6681668,-61.224677299999996
6889.88371,173.31366659999998,-54.326324199999995
6889.94968,176.6286541,-32.2718085
6889.9990800000005,177.4076701,45.175059399999995
6890.03168,174.4530906,81.394913
6890.0469,170.8615909,90.8899612
6890.0439400000005,167.1567346,94.86059259999999
6890.02177,163.414186,96.9570936
6889.979179999999,159.6545878,98.2068055
6889.91472,155.8857534,99.0043599
6889.82679,152.1112597,99.532809
6869.86541,8.592939600000008,38.0941992
6869.71645,5.016397600000005,49.375280499999995
6869.63966,2.3502459999999985,95.87723609999999
6869.6357,3.862414700000002,166.6316276
6869.70449,7.303993800000001,-175.8614246
6869.845310000001,10.991501600000007,-169.9265276
6870.05672,14.741462600000006,-167.0914034
6870.3366000000005,18.51589,-165.4901174
6870.68219,22.3022737,-164.4992508
6871.09009,26.095309500000006,-163.85371089999998
6871.556280000001,29.892358200000004,-163.4220499
6872.07629,33.6919503,-163.1317573
6872.64524,37.493194700000004,-162.93956609999998
6873.25802,41.2955136,-162.8180483
6873.90925,45.098510600000004,-162.7489561
6874.59338,48.9019003,-162.719656
6875.30472,52.7054692,-162.7211012
6876.037429999999,56.5090512,-162.7466194
6876.78561,60.3125128,-162.7911579
6877.543310000001,64.1157432,-162.8507947
6878.304730000001,67.9186475,-162.9224119
6879.06434,71.7211429,-163.00347109999998
6879.81702,75.5231566,-163.0918544
6880.557940000001,79.3246242,-163.18574809999998
6881.28264,83.1254877,-163.2835542
6881.98705,86.9256942,-163.38382149999998
6882.66762,90.7251952,-163.48518869999998
6883.32128,94.5239458,-163.5863344
6883.94545,98.3219048,-163.68592999999998
6884.53805,102.1190333,-163.782592
6885.0975,105.9152942,-163.8748298
6885.6227,109.7106513,-163.96098569999998
6886.11297,113.5050679,-164.0391604
6886.56807,117.2985049,-164.10711759999998
6886.98817,121.0909185,-164.1621561
6887.37377,124.8822571,-164.2009335
6887.72571,128.6724559,-164.2192144
6888.0451299999995,132.46142989999998,-164.2115029
6888.33344,136.2490628,-164.1704858
6888.5922199999995,140.0351902,-164.0861644
6888.82316,143.81957169999998,-163.94444299999998
6889.028,147.6018427,-163.72473829999998
6889.20845,151.3814305,-163.39570329999998
6889.366190000001,155.15739150000002,-162.9070813
6889.50284,158.92807779999998,-162.1728841
6889.619900000001,162.6903689,-161.0328716
6889.718620000001,166.43763719999998,-159.1511258
6889.79989,170.1531284,-155.6901263
6889.864320000001,173.7801447,-147.8863694
6889.91222,176.9816626,-121.0684096
6889.94363,177.1312815,-41.2206201
6889.95838,173.99638299999998,-11.7395658
6889.95599,170.3795467,-3.4491313
6889.93571,166.6672701,0.1626269
6889.89644,162.9215352,2.1087848
6889.8369,159.1602175,3.2819447999999998
6889.755770000001,155.3902929,4.0353658
6889.65151,151.6150161,4.5360993999999994
6869.77416,7.55342730000001,16.4218753
6869.63979,4.077756300000004,32.3917044
6869.57796,2.2884439999999984,99.00824539999999
6869.58918,4.783524900000003,150.4017728
6869.67324,8.340481100000005,162.6171325
6869.82923,12.053238700000009,167.3114743
