r,theta,phi,Br,Btheta,Bphi
6869.9364000000005,9.08651540000001,132.3434335,-46884.0887,-2303.1173,-13.4989
6869.75198,5.477628899999999,142.07680299999998,-46534.7456,-1075.5286,316.2576
6869.63975,2.5449861000000027,179.8977108,-46203.102100000004,137.58180000000002,250.72660000000002
6869.60046,3.4618837000000013,-103.2358579,-45926.3998,-139.42440000000002,-924.7408
6869.634150000001,6.821190000000001,-82.1128233,-45710.8825,-1127.7089,-1404.5241
6869.74024,10.493282000000008,-75.4231392,-45568.4302,-2046.7324,-1748.7292
6869.91751,14.238136800000007,-72.3287098,-45461.6684,-3009.9527000000003,-2100.1587
6870.16402,18.0103606,-70.609871,-45328.011900000005,-4106.3424,-2398.6604
6870.47728,21.795668399999997,-69.55614899999999,-45106.201100000006,-5344.1557,-2677.94
6870.85429,25.5881641,-68.8731485,-44718.8018,-6719.912,-2938.7823000000003
6871.29146,29.384966000000006,-68.4173879,-44102.8821,-8207.652600000001,-3167.0889
6871.784640000001,33.184490600000004,-68.11068949999999,-43220.9895,-9792.183500000001,-3020.1838000000002
6872.3292,36.9857875,-67.9068364,-42007.712,-11368.535600000001,-3503.877
6872.92008,40.7882453,-67.7767436,-40498.625700000004,-12930.4755,-3700.9523000000004
6873.5518600000005,44.5914464,-67.7011747,-38694.2197,-14421.4287,-3855.2760000000003
6874.218900000001,48.3950911,-67.6668772,-36625.073000000004,-15806.134900000001,-3986.1561
6874.915480000001,52.1989542,-67.6644012,-34325.23,-17044.133400000002,-4086.4334000000003
6875.63588,56.0028609,-67.686803,-31835.440400000003,-18119.068900000002,-4165.5258
6876.37434,59.806671,-67.72884189999999,-29202.521200000003,-19024.8387,-4217.8669
6877.1251,63.6102684,-67.7864634,-26466.483900000003,-19760.591800000002,-4245.3455
6877.88255,67.4135547,-67.8564549,-23663.2039,-20332.3997,-4246.832600000001
6878.64125,71.2164451,-67.9362098,-20819.8578,-20751.648400000002,-4219.1495
6879.39592,75.0188652,-68.0235606,-17953.4212,-21024.7174,-4159.0776000000005
6880.14148,78.82074850000001,-68.1166567,-15082.1172,-21155.3682,-4068.2171000000003
6880.87319,82.6220344,-68.2138745,-12229.676500000001,-21144.9782,-3942.7284
6881.58671,86.4226676,-68.3137455,-9418.0391,-21000.6171,-3779.4162
6882.27825,90.2225967,-68.414898,-6668.6419000000005,-20722.7566,-3576.7192
6882.94449,94.0217747,-68.51600619999999,-4013.3724,-20321.001,-3327.3662
6883.5826799999995,97.8201583,-68.6157429,-1481.4747,-19809.959300000002,-3031.3166
6884.1905,101.6177075,-68.7127318,897.8546,-19218.6261,-2685.9572000000003
6884.76609,105.4143837,-68.8054971,3112.5625,-18580.598,-2294.0660000000003
6885.30808,109.21014890000001,-68.89240389999999,5159.1072,-17931.5089,-1863.5375000000001
6885.81573,113.0049644,-68.9715854,7048.6894,-17303.5478,-1397.2794000000001
6886.2888,116.7987909,-69.0408527,8798.8528,-16729.2075,-904.4292
6886.72742,120.5915844,-69.0975716,10439.2512,-16233.3084,-393.3623
6887.132140000001,124.383294,-69.1384934,12006.008300000001,-15840.3058,132.36610000000002
6887.5037999999995,128.1738567,-69.159514,13551.3655,-15557.594700000001,663.4518
6887.84348,131.9631904,-69.1553249,15121.0548,-15384.0828,1205.8479
6888.15246,135.7511838,-69.1188863,16766.657600000002,-15302.5422,1750.8651
6888.43219,139.5376794,-69.0406082,18524.6168,-15281.6011,2296.8286000000003
